ABW,T1,4-6-4-6-6-8_2
ACO,T1,4-8_2-4-8_2-4-8_2
AEI,T1,4-4-4-8-6-8
AEI,T2,4-4-4-8-6-8
AEI,T3,4-4-4-8-6-8
AEL,T1,4-6_2-6-6_3-6_2-6_3
AEL,T2,4-6_2-6-6_3-6_2-6_3
AEL,T3,6-6_2-6_2-6_2-6_2-6_2
AEN,T1,4-6_3-6_2-8_2-6_3-8
AEN,T2,4-6-6-6_2-6_2-6_4
AEN,T3,4-6_3-6_2-6_3-6_2-8
AET,T1,4-6_2-6-6_3-6_2-6_3
AET,T2,4-6_2-6_2-6_3-6_2-6_3
AET,T3,4-6_2-6-6_3-6_2-6_3
AET,T4,6-6_2-6_2-6_2-6_2-6_2
AET,T5,4-6_3-4-6_3-6-6_4
AFG,T1,4-6-4-6-6-6
AFG,T2,4-6-4-6-6-6
AFG,T3,4-4-6-6-6-6
AFI,T1,4-6_2-6-6_3-6_2-6_3
AFN,T1,4-4-4-8_2-6-8_4
AFN,T2,4-4-4-8_2-6-6_2
AFN,T3,4-6-4-8-4-8_7
AFN,T4,4-4-6-8-8-8_2
AFO,T1,4-6_2-6-6_3-6_2-6_3
AFO,T2,4-6_2-6-6_3-6-6_3
AFO,T3,4-6_2-6_2-6_3-6_2-6_3
AFO,T4,6-6_2-6_2-6_2-6_2-6_2
AFR,T1,4-6-4-6_2-4-8
AFR,T2,4-4-4-8-6_3-8
AFR,T3,4-4-4-12-6-6_3
AFR,T4,4-6-4-6-6-12
AFS,T1,4-4-4-8_2-6_2-8
AFS,T2,4-4-4-6-6-12
AFS,T3,4-8-4-8-4-8
AFT,T1,4-4-4-8-6-8
AFT,T2,4-4-4-8-6-8
AFT,T3,4-4-4-8-6-8
AFV,T1,4-4-4-6-6-8
AFV,T2,4-4-4-8-6-8
AFV,T3,4-4-6-6-8-8
AFX,T1,4-4-4-8-6-8
AFX,T2,4-4-4-8-6-8
AFY,T1,4-4-4-8-4-12
AFY,T2,4-8-4-8-4-8
AHT,T1,4-6_2-6-6_3-6-6_3
AHT,T2,4-6_3-4-6_3-6-6_4
ANA,T1,4-4-6-6-8_4-8_4
APC,T1,4-4-4-8_2-8-8_2
APC,T2,4-6-4-6-6-8_2
APD,T1,4-4-6_2-8_3-6_3-8_3
APD,T2,4-6_2-6-6_2-6-6_3
AST,T1,4-6-4-6-4-6
AST,T2,6-6-6-6-6-6
ASV,T1,4-6-4-6-4-6
ASV,T2,6-6-6_2-6_2-12_8-12_8
ATN,T1,4-6-4-6-6-8
ATO,T1,4-6_2-6-6_2-6-6_3
ATS,T1,4-6-4-6-6-6_2
ATS,T2,4-6_2-4-6_2-6-12_2
ATS,T3,4-6_2-4-6_2-6-12_2
ATT,T1,4-4-4-6-8-8
ATT,T2,4-8_2-4-8_2-6-8_2
ATV,T1,4-6_2-6-6_3-6_2-6_3
ATV,T2,6-6_2-6-6_2-6_2-6_2
AVE,T1,4-4-4-6-6-8
AVE,T2,4-4-6-6-6-8
AVE,T3,4-6-4-8-6-6
AVE,T4,4-4-4-6-6-8
AVL,T1,4-4-4-8-6-8
AVL,T2,4-4-4-6-6-8
AVL,T3,4-4-4-8-6-8
AVL,T4,4-4-6-6-8-8
AWO,T1,4-6_2-4-8_3-6-8_2
AWO,T2,4-6-4-8_2-6-8
AWO,T3,4-4-4-6-8-8_3
AWW,T1,4-4-6-6-6-8
AWW,T2,4-4-4-6-6-6
BCT,T1,4-6_2-6-6-6-6
BEA,T1,4-5-4-12_3-5-5
BEA,T2,4-5-4-12_6-5-5
BEA,T3,4-6-4-12_3-5-5
BEA,T4,4-6-4-12_6-5-5
BEA,T5,4-5_2-5-5-5-6
BEA,T6,4-5_2-5-5-5-6
BEA,T7,5-5-5-6-5_2-12_5
BEA,T8,5-5-5_2-12_7-6-6
BEA,T9,5-5-5-5-5_2-12_3
BEC,T1,4-5-4-6-4-12_6
BEC,T2,5-5-5_2-12_5- 6-6
BEC,T3,4-5_2-5-6-5-6
BIK,T1,5-5-5-5-6-8_2
BIK,T2,5_2-6_2-6-6-6-6
BOF,T1,4-5-5-6_2-6-6_2
BOF,T2,4-5-5-6-6-10
BOF,T3,4-4-5-10_2-6-6_2
BOG,T1,4-5-4-6-5-12_2
BOG,T2,4-5-4-6_2-10-12
BOG,T3,4-5_2-5-6-5-10_3
BOG,T4,4-10_5-5-6_3-5-6_3
BOG,T5,4-5-5-6_2-5-10
BOG,T6,4-5-5-6-5-6_2
BOZ,T1,3-3-8-8-8-10
BOZ,T2,3-4-6-8-8-8
BOZ,T3,3-3-8-8-8-10
BOZ,T4,3-3-8-8-10-10
BOZ,T5,3-3-8-10-8-10
BOZ,T6,3-3-8-10-8-10
BOZ,T7,3-3-6-10-8-8
BOZ,T8,3-3-10-10-10-10
BPH,T1,4-4-4-8_2-6_2-8
BPH,T2,4-4-4-6-6-12
BPH,T3,4-8-4-8-4-8
BRE,T1,4-5-4-6-5-8
BRE,T2,4-5-4-8-5-6
BRE,T3,4-8-5-8-5-8_2
BRE,T4,4-5_2-5-6-5-8
BSV,T1,4-4-4-6-12_69-12_69
CAN,T1,4-6-4-6-6-6
CAS,T1,5-5-5-5-6-8_2
CAS,T2,5-6-5-6-6_2-8_2
CAS,T3,5-6-5-6-5_2-6
CDO,T1,5-5-5-5_2-5-8
CDO,T2,5-5_2-5-5_2-8-*
CDO,T3,5-8_2-5-8_2-5_2-8_2
CDO,T4,5-5-5-5-5_2-8_2
CFI,T1,4-6-4-6-5-6
CFI,T2,5-6-5-6-5_2-6
CFI,T3,5-6-5-6-5-6_2
CFI,T4,5-5-5-5-14_14-*
CFI,T5,5-5-5-5-5-6_2
CGF,T1,4-8-6_3-8-6_3-8
