5_5-6_2-10_4,5_5-6_2-10_4,5_5-6_2-10_4,5_5-10_2-6_1
5_6-10_4,5_6-10_4,5_6-10_4,5_6-10_3
5_6-10_4,5_6-10_4,5_6-10_4,5_6-10_3
5_6-6_2-10_1,5_6-6_2-10_1,5_6-6_2-10_1,5_6-6_1
5_4-6_2-10_4,5_4-6_2-10_4,5_4-6_2-10_4,5_4-6_2-10_3
5_6-10_5,5_6-10_5,5_6-10_5,5_6-10_3
5_3-6_5-10_2,5_3-6_5-10_2,5_3-6_5-10_2,5_3-6_4-10_2
5_5-6_3-10_1,5_5-6_3-10_1,5_5-6_3-10_1,5_5-6_1
4_1-5_3-6_2-10_4,4_1-5_3-6_2-10_4,4_1-5_3-6_2-10_4,4_1-5_3-6_2-10_3
4_1-5_3-6_3-10_2,4_1-5_3-6_3-10_2,4_1-5_3-6_3-10_2,4_1-5_3-6_2-10_2
5_4-6_4-10_1,5_4-6_4-10_1,5_4-6_4-10_1,5_4-6_3
5_4-6_4-10_3,5_4-6_4-10_3,5_4-6_4-10_3,5_4-6_4-10_2
